,coeff
10fthf_c,-0.0079397
2dmmq8_c,-0.0079397
5mthf_c,-0.0079397
ACP_c,-0.0079397
PGP_c,-0.0018061
PGPm1_c,0.0072242
adocbl_c,-0.0079397
adp_c,41.257
ai17tca1_c,-0.0018061
ai17tcaacgam_c,-0.0018061
ai17tcaala__D_c,-0.0018061
ai17tcaglc_c,-0.0018061
ala__L_c,-0.26756
amet_c,-0.0079397
apoACP_c,0.0079397
arg__L_c,-0.1934
asn__L_c,-0.14833
asp__L_c,-0.14833
atp_c,-41.2914
biomass_c,1.0
ca2_c,-0.0079397
cbi_c,0.0079397
cl_c,-0.0079397
clpn180_c,-0.0085871
clpnai17_c,-0.0085871
clpni17_c,-0.0085871
coa_c,-0.0079397
cobalt2_c,-0.0079397
ctp_c,-0.026124
cu2_c,-0.0079397
cys__L_c,-0.056954
datp_c,-0.016222
dctp_c,-0.010655
dgtp_c,-0.010655
dmbzid_c,0.0079397
dnarep_c,-1.0
dttp_c,-0.016222
fad_c,-0.0079397
fe2_c,-0.0079397
fe3_c,-0.0079397
gln__L_c,-0.26101
glu__L_c,-0.26101
gly_c,-0.40933
glyc45tca_c,-0.0018061
glyc45tcaala__D_c,-0.0018061
glyc45tcaglc_c,-0.0018061
gthrd_c,-0.0079397
gtp_c,-0.042403
h2o_c,45.354
h_c,-41.257
his__L_c,-0.081948
i17tca1_c,-0.0018061
i17tcaacgam_c,-0.0018061
i17tcaala__D_c,-0.0018061
i17tcaglc_c,-0.0018061
ile__L_c,-0.27043
k_c,-0.0079397
leu__L_c,-0.34746
lys__L_c,-0.3237
met__L_c,-0.1135
mg2_c,-0.0079397
mn2_c,-0.0079397
mqn8_c,-0.0079397
nad_c,-0.0079397
nadp_c,-0.0079397
pe180_c,-0.0085871
peai17_c,-0.0085871
pei17_c,-0.0085871
pg180_c,-0.0085871
pgai17_c,-0.0085871
pgi17_c,-0.0085871
phe__L_c,-0.17619
pheme_c,-0.0079397
pi_c,41.2491
ppi_c,0.1849
pro__L_c,-0.16103
proteinsynth_c,-1.0
ptrc_c,-0.0079397
pydx5p_c,-0.0079397
q8_c,-0.0079397
ribflv_c,-0.0079397
rnatrans_c,-1.0
ser__L_c,-0.21675
sheme_c,-0.0079397
so4_c,-0.0079397
spmd_c,-0.0079397
sttca1_c,-0.0018061
sttcaacgam_c,-0.0018061
sttcaala__D_c,-0.0018061
sttcaglc_c,-0.0018061
tcam_c,-0.0018061
thf_c,-0.0079397
thmpp_c,-0.0079397
thr__L_c,-0.18684
trp__L_c,-0.054496
tyr__L_c,-0.11104
udcpdp_c,-0.0018061
utp_c,-0.028225
val__L_c,-0.30772
zn2_c,-0.0079397
